Key,Id,English(en),French(fr),German(de)
"Juice Blu Strawberri Description",113448789407752192,"This blue juice gives you back a small concentrated amount of <sprite anim=""6,21,12"">","Ce jus bleu te redonne une quantité concentrée de <sprite anim=""6,21,12"">","Dieser blaue Saft gibt Ihnen eine kleine konzentrierte Menge <sprite anim=""6,21,12""> zurück"
"Juice Carrot",113449870674157568,"Carrot Juice","Jus de Carrotte","Karottensaft"
"Juice Carrot Description",113449915020533760,"This concentrated color of carrot in liquid form allows you to reach new heights!","Ce concentré de couleur carrotte te permet d'atteinddres de nouvelles hauteurs!","Mit dieser konzentrierten Karottenfarbe in flüssiger Form können Sie neue Höhen erreichen!"
"Juice Lunibs",117454577981775872,"Lunee","Lunée","Lunee"
"Juice Lunibs Description",117454911143731200,"Lunee, the age old roasted nut juice. Still not like wine, but zowee does it give you the jitters. You'll be running all the way home wherever you might be!","Lunée, le bon vieux jus de noix grillée. Toujours pas du vin, mais waoh 4a secoue. Tu va courire juque la maison, où qur tu te trouves.","Lunee, der uralte geröstete Nusssaft. Ich mag Wein immer noch nicht, aber Zowee macht einem Angst. Du rennst den ganzen Weg nach Hause, wo immer du auch bist!"
"Juice Thimbleberry",166706626199871488,"Thimbleberry Juice","Thimbleberry Juice","Thimbleberry Juice"
"Juice Thimbleberry Description",166706762758021120,"This juice is made from the berries that gave the town its name. Although it is the villagers themselves that named the plant, but the order of things was that they named the plant and then the town, so, yeah.","x","x"
"Juice Water",113435067368923136,"Glass of Water","Verre d'eau","Glas Wasser"
"Juice Water Description",113435253898010624,"A tall glass of cool, refreshing water. We all need to drink a bit more water.","Une grand verre d'eau, frais et rafraichissant. On a tous besoin de boire un peu plus d'eau.","Ein großes Glas kühles, erfrischendes Wasser. Wir alle müssen etwas mehr Wasser trinken."
"Lunibs",117111490721931264,"Lunibs","Lunibs","Lunibs"
"Lunibs Description",117111548251004928,"A lunibs is not like wine, it doesn't get better over time. It is more like white bread. It get's stale, boring and useless VERY quickly.  Or make a drink with it and it might do something else for you?","Un lunibs n'est pas comme le vin, ça ne s'ammeliore pas avec le temps. C'est comme la mie de pain, ca devient lassant et inutile assez vite. Ou crée une boisson avec et ça va peut-être faire autre chose pour toi?","Ein Lunibs ist nicht wie Wein. Mit der Zeit wird es nicht besser. Es ähnelt eher Weißbrot. Es wird SEHR schnell abgestanden, langweilig und nutzlos. Oder einen Drink damit zubereiten und es könnte etwas anderes für Sie bewirken?"
"Mushroom Soup",2383595233280,"Mushroom Soup","Soupe aux champignons","Pilzsuppe"
"Mushroom Soup Description",2385503641600,"A tasty mushroom soup.","Une délicieuse soupe aux champignons.","Eine leckere Pilzsuppe."
"Onion",4089825517568,"Onion","Oignon","Zwiebel"
"Onion Description",4091171889152,"This might make you cry, or add flavor to your life... either way, it's layers upon layers of simplicity.","Cela pourrait vous faire pleurer, ou ajouter de la saveur à votre vie... de toute façon, ce sont des couches et des couches de simplicité.","Das könnte dich zum Weinen bringen oder Geschmack in dein Leben bringen... wie auch immer, es sind Schichten um Schichten von Einfachheit."
"Pinon",57270457771548672,"Piñon","Pignon","Pine nut"
"Pinon Description",57270459847729152,"This small nut is quite the treasure! Full of Bounce and taste!","This small nut is quite the treasure! Full of Bounce and taste!","This small nut is quite the treasure! Full of Bounce and taste!"
"Popcorn",4383686844416,"Popcorn","Popcorn","Popcorn"
"Popcorn Description",4384357933056,"Popped corn. It's light and slightly salted, and it has great rhythm! Adds bounce to your step.","Maïs soufflé. Il est léger et légèrement salé, et il a un excellent rythme ! Donne du ressort à votre pas.","Puffmais. Es ist leicht und leicht gesalzen und hat einen großartigen Rhythmus! Bringt Schwung in deinen Schritt."
"Potato",25041199162777600,"Potato","Pomme de terre","Kartoffeln"
"Potato Description",25041201549336576,"Say it with me, Po.ta.to, mmmm","Cette pomme qui sort de la terre, sacrée patate de dieu!","kar.tof.feln"
"Potato Soup",25072838307799040,"Potato soup","Soupe de pomme de terre","Kartoffelnsuppe"
"Potato Soup Description",25072840572723200,"This robust soup is creamy and just as lumpy as you like it! ","Cette soupe est onctueuse et avec toutes la concistance d'une bonne patate bien cuite!","potato soups of yummy yums.."
"Pumpkin",4896125935616,"Pumpkin","Citrouille","Kürbis"
"Pumpkin Description",4898151784448,"A large, orange, and meaty pumpkin. Maybe it will spook someone?","Une grosse citrouille, orange et charnue. Peut-être qu'elle effrayera quelqu'un ?","Ein großer, orangefarbener und fleischiger Kürbis. Vielleicht erschreckt er jemanden?"
"Pumpkin Pie",5177609871360,"Pumpkin Pie","Tarte à la citrouille","Kürbiskuchen"
"Pumpkin Pie Description",5179971264512,"The smell of autumn in the air, but no one knows what autumn is here.","L'odeur de l'automne dans l'air, mais personne ne sait ce qu'est l'automne ici.","Der Duft des Herbstes liegt in der Luft, aber hier weiß niemand, was der Herbst ist."
"Red Mushroom",101323431936,"Red Mushroom","Champignon Rouge","Roter Pilz"
"Red Mushroom Description",105484181504,"A raw reddish mushroom. A bit of blue too.","Un champignon rougeâtre cru. Avec un peu de bleu aussi.","Ein roher rötlicher Pilz. Auch ein bisschen Blau."
"Roasted Lunibs",117464192979099648,"Roasted Lunibs","Lunibs Grillé","Geröstete Lunibs"
"Roasted Lunibs Description",117464577630330880,"This roasted nut is now even less like wine than ever before, but has it's uses. Mainly it can be turned into Lunee, the age old picker-upper.","Cette noix grillé est encore moins comme le vin qu'avant, mais a encore des utilitées. Notament, ça peut être transformé en Lunée, le bon vieux vroom-vroom matinale.","Diese geröstete Nuss ähnelt heute noch weniger Wein als je zuvor, hat aber ihren Nutzen. Hauptsächlich lässt es sich in Lunee verwandeln, das uralte xx(Picker-Upper)xx."
"Sunflower Seeds",6491882999308288,"Sunflower Seeds","Graines de tournesol","Sonnenblumenkerne"
"Sunflower Seeds Description",6491891232727040,"These little seeds can make a nice cooking oil, or you can eat 5000 of them and still feel hungry!","Ces petites graines peuvent devenir une bonne huile de cuisson, ou vous pouvez en manger 5000 et avoir encore faim !","Aus diesen kleinen Samen lässt sich ein gutes Speiseöl herstellen, oder man kann 5000 davon essen und hat trotzdem Hunger!"
"Thimbleberry",166321832509104128,"Thimbleberry","Thimbleberry","Thimbleberry"
"Thimbleberry Description",166321912016330752,"Contrary to popular belief, you cannot use these berries to sew. But they certainly are tasty and can be transformed in to many other tasty things!","x","x"
"Tomato",5461832687616,"Tomato","Tomate","Tomate"
"Tomato Description",5463380385792,"A fresh tomato, quite saucy!","Une tomate fraîche, plutôt saucée !","Eine frische Tomate, ziemlich würzig!"
"Turmeric",57268196261552128,"Turmeric","Curcuma","Turmeric"
"Turmeric Description",57268226598952960,"This will make almost any dish very tasty! And the best part is how orangey it is!","This will make almost any dish very tasty! And the best part is how orangey it is!","This will make almost any dish very tasty! And the best part is how orangey it is!"
"Water Bowl",6253025222656,"Water Bowl","Bol d'eau","Wassernapf"
"Water Bowl Description",6254174461952,"A bowl of water. Kinda wet, should restore some of that bounce.","Un bol d'eau. Plutôt mouillé, devrait redonner un peu de vivacité.","Eine Schüssel Wasser. Ziemlich nass, sollte etwas Schwung zurückgeben."
