Key,Id,English(en),French(fr),German(de)
"MainScene-Terrain/GameManager/Canvas (1)/MerchantTableUI/Paper/ItemHolder/PurchaseButton/Text (TMP)",1466892088303616,"Purchase","Acheter","Einkaufen"
"MainScene-Terrain/GameManager/Canvas (1)/VillageDesk/Paper/Ingredient holder/Text (TMP)",1784240049545216,"Required Items","Articles Requis","Erforderliche Artikel"
"MainScene-Terrain/GameManager/Canvas (1)/LocalGoods/TradeButton/Text (TMP)",1790812339363840,"Trade for Sparks","Échanger pour des étincelles","Tausch gegen Funken"
"Sit",1794519151992832,"Sit","S'Assoire","Sitz"
"Create Coal",1797452199419904,"Create Coal","Créer du charbon","Kohle erzeugen"
"Cook",1797724145508352,"Cook","Cuisiner","Kochen"
"Craft",1797895147282432,"Craft","Fabriquer","Herstellen"
"Gather Dynamiblobs",1798229286510592,"Gather Dynamiblobs","Ramasser des Dynamoamas","Dynamofleck Sammeln"
"Grind ",1798918666510336,"Grind ","Moudre","Mahlt"
"Craft with Loom",1799473979777024,"Craft with Loom","Utiliser le métier à tisser","Basteln mit Webstuhl"
"Buy",1799792633634816,"Buy","Achète","Kaufen"
"Research",1800008690622464,"Research","Rechercher","Forschung"
"Sleep",1800172746629120,"Sleep","Dors","Schlaf"
"Smelt ores",1800321229185024,"Smelt ores","Fondre des minerais","Schmelzerze Erze"
"Craft with Spinner",1800746921680896,"Craft with Spinner","Utiliser la Filleuse","Basteln mit Spinnrad"
"Read message",1801839751782400,"Read message","Lire le message","Nachricht lesen"
"Talk",1802247144529920,"Talk","Parler","Gespräch"
"Fix",1802651873894400,"Fix","Réparer","Reparieren"
"Harvest",1803247062409216,"Harvest","Récolter","Ernte"
"View Required Items",1805523701260288,"View Required Items","Voir les Articles Requis","Benötigte Artikel Anzeigen"
"UndertakingsSpace/Prefab Mode in Context/UndertakingsSpace/Text (TMP)",1852225221091328,"completed","achevée","abgeschlossen"
"Create Farm Area",2965628719259648,"Create Farm Area","Créer une zone agricole","Farmbereich erstellenFarmbereich erstellen"
"Crafted Items",4694318318673920,"Crafted Items","Articles Fabriqués","Hergestellte Artikel"
"Mirror",5128969457819648,"Looking Glass","Miroir","Spiegel"
"Village Desk",5506428984418304,"Village Desk","Bureau du Village","Dorf-Schreibtisch"
