Key,Id,English(en),French(fr),German(de)
"Talk to Manuela or Ramiro Complete",2569889439744,"You found the couple on the hill. They sure were happy to see a new face.","Tu as trouvé le couple sur la colline. Ils étaient heureux de voir un nouveau visage.","Du hast das Paar auf dem Hügel gefunden! Sie waren sicher froh, ein neues Gesicht zu sehen."
"Fix The Hungry Wolf",3364319977472,"Fix The Hungry Wolf","Répare Le Loup Affamé","Reparieren Sie den hungrigen Wolf"
"Fix The Hungry Wolf Description",3366064807936,"Ah, my dear, the time has come for you to bring my humble establishment, The Hungry Wolf, back to life. Venture to the Village Desk at the heart of the Town Hall, and beseech Slick to weave his magic upon the weary corners and make them anew.","Ah, ma chère, le moment est venu pour vous de redonner vie à mon humble établissement, Le Loup Affamé. Rendez-vous au bureau du village, au cœur de l'hôtel de ville, et demande à Slick de faire aller sa magie sur les coins fatigués et de les faire renaître.","Meine Liebe, es ist an der Zeit, dass du mein bescheidenes Lokal, den Hungrigen Wolf, wieder zum Leben erweckst. Begebe dich zum Schreibtisch im Herzen des Rathauses und bitte Slick, seine Magie auf die mitgenommenen Ecken zu legen und sie zu erneuern."
"Fix The Hungry Wolf Complete",3367545397248,"You've gotten The Hungry Wolf back in shape! I hope your eyes and teeth are ready for the splendors that await them there. ","Tu as remis Le Loup Affamé en forme ! J'espère que ts yeux et tes dents sont prêts pour les splendeurs qui les attendent. ","Du hast den Hungrigen Wolf wieder in Form gebracht! Ich hoffe, deine Augen und dein Maul sind bereit für die Herrlichkeiten, die dort auf dich warten. "
"Fix Alice's Looking Glass",3639137665605632,"Fix Alice's Looking Glass","Répare L'Autre Miroir d'Alice","Repariere Alices Spiegel"
"Fix Alice's Looking Glass Description",3639876530003968,"Alice is quite the seamstress, if only she had a shop and a looking glass she could do wonders! Oh, wait, the Village Desk can help you out with that, as can Slick ad some basic materials.","Alice est une couturière hors pair. Si seulement elle avait une boutique et un miroir, elle pourrait faire des merveilles ! Oh, attendez, le bureau du Village peut vous aider, tout comme Slick et quelques matériaux de base.","Alice ist eine gute Schneiderin. Wenn sie nur einen Laden und einen Spiegel hätte, könnte sie wahre Wunder vollbringen! Oh, warte, der Village Desk kann dir dabei helfen, ebenso wie Slick mit ein paar einfachen Materialien."
"Fix Alice's Looking Glass Complete",3639882754351104,"Now that Alice's Looking Glass is a reflection of health you should stop by and see yourself through the mirror.","Maintenant que L'Autre Miroir d'Alice est le reflet de la santé, vous devriez passer vous voir dans le miroir.","Jetzt, wo Alices Spiegel ein Spiegelbild der Gesundheit ist, solltest du vorbeikommen und dich selbst darin sehen."
"Fix Decidedly Dedicated Decorations",11308064864526336,"Fix Decidedly Dedicated Decorations","x","x"
"Fix Decidedly Dedicated Decorations Description",11308177179598848,"Demetrius' daring decorating deftness does it all. It's just that right now his shop doesn't exist. If you can get this place fixed up you'll be the talk of the town, or at least you could talk to the whole town. ","x","x"
"Fix Decidedly Dedicated Decorations 
Complete",11308229058945024,"From delicate to daring, Decidedly Dedicated Decorations is definitely disrupting dispositions. ","x","x"
"Meet the chickens",17116222266597376,"Meet the chickens","Rencontres les poules","Treffen mit den Hühnern"
"Meet the chickens Description",17116225743675392,"There are rogue chickens about! They know where you are. Find them and see if they'll show you where you are!","Il y a des poules indépendant dans ces contrées ! Elles savent où tu te trouves. Trouve-les et peut-être qu'elles te montres où tu es !","Es gibt vereinzelt ausgebüchste Hühner! Sie sind nicht verloren, sie wissen aber, wo du bist. Finde sie und schau, ob sie dir zeigen, wo du bist!"
"Meet the chickens Complete",17116228755185664,"You've met all the chickens! Now you'll always know who you are... I mean where you are!","Tu as rencontré tous les poules ! Maintenant, tu sauras toujours qui tu es... Je veux dire où tu es !","Du hast alle Hühner kennengelernt! Jetzt wirst du immer wissen, wer du bist... Ich meine, wo du bist!"
"Fix The Root of it All",56613726045396992,"Fix The Root of it All","x","x"
"Fix The Root of it All Description",56613730927566848,"Fix The Root of it All","x","x"
"Fix The Root of it All Complete",56613732890501120,"Fix The Root of it All","x","x"
"Repair A Hatful Of Seeds",109517966426038272,"Repair A Hatful Of Seeds","x","x"
"Repair A Hatful Of Seeds Description",109518069383618560,"Ramiro has asked you to repair his little shop. Why not give it a try and see exactly what it is that he sells.","x","x"
"Repair A Hatful Of Seeds Complete",109518132398841856,"You fixed up A Hatful Of Seeds, Ramiro's shop! You should see what's for sale there!","x","x"
